chord_name,notes,chord_type,chord_extension
A#aug7,"A#, D, F#, G#",Augmented,Augmented 7th
Aaug7,"A, C#, F, G",Augmented,Augmented 7th
Abaug7,"Ab, C, E, Gb",Augmented,Augmented 7th
Baug7,"B, D#, G, A",Augmented,Augmented 7th
Bbaug7,"Bb, D, Gb, Ab",Augmented,Augmented 7th
C#aug7,"C#, F, A, B",Augmented,Augmented 7th
Caug7,"C, E, G#, A#",Augmented,Augmented 7th
D#aug7,"D#, G, B, C#",Augmented,Augmented 7th
Daug7,"D, F#, A#, C",Augmented,Augmented 7th
Dbaug7,"Db, F, A, B",Augmented,Augmented 7th
Eaug7,"E, G#, C, D",Augmented,Augmented 7th
Ebaug7,"Eb, G, B, Db",Augmented,Augmented 7th
F#aug7,"F#, A#, D, E",Augmented,Augmented 7th
Faug7,"F, A, C#, D#",Augmented,Augmented 7th
G#aug7,"G#, C, E, F#",Augmented,Augmented 7th
Gaug7,"G, B, D#, F",Augmented,Augmented 7th
Gbaug7,"Gb, Bb, D, E",Augmented,Augmented 7th
A#aug,"A#, D, F#",Augmented,Triad
Aaug,"A, C#, F",Augmented,Triad
Abaug,"Ab, C, E",Augmented,Triad
Baug,"B, D#, G",Augmented,Triad
Bbaug,"Bb, D, Gb",Augmented,Triad
C#aug,"C#, F, A",Augmented,Triad
Caug,"C, E, G#",Augmented,Triad
D#aug,"D#, G, B",Augmented,Triad
Daug,"D, F#, A#",Augmented,Triad
Dbaug,"Db, F, A",Augmented,Triad
Eaug,"E, G#, C",Augmented,Triad
Ebaug,"Eb, G, B",Augmented,Triad
F#aug,"F#, A#, D",Augmented,Triad
Faug,"F, A, C#",Augmented,Triad
G#aug,"G#, C, E",Augmented,Triad
Gaug,"G, B, D#",Augmented,Triad
Gbaug,"Gb, Bb, D",Augmented,Triad
A#dim7,"A#, C#, E, G",Diminished,Diminished 7th
Abdim7,"Ab, B, D, F",Diminished,Diminished 7th
Adim7,"A, C, D#, F#",Diminished,Diminished 7th
Bbdim7,"Bb, Db, E, G",Diminished,Diminished 7th
Bdim7,"B, D, F, G#",Diminished,Diminished 7th
C#dim7,"C#, E, G, A#",Diminished,Diminished 7th
Cdim7,"C, D#, F#, A",Diminished,Diminished 7th
D#dim7,"D#, F#, A, C",Diminished,Diminished 7th
Dbdim7,"Db, E, G, Bb",Diminished,Diminished 7th
Ddim7,"D, F, G#, B",Diminished,Diminished 7th
Ebdim7,"Eb, Gb, A, C",Diminished,Diminished 7th
Edim7,"E, G, A#, C#",Diminished,Diminished 7th
F#dim7,"F#, A, C, D#",Diminished,Diminished 7th
Fdim7,"F, G#, B, D",Diminished,Diminished 7th
G#dim7,"G#, B, D, F",Diminished,Diminished 7th
Gbdim7,"Gb, A, C, Eb",Diminished,Diminished 7th
Gdim7,"G, A#, C#, E",Diminished,Diminished 7th
A#m7b5,"A#, C#, E, G#",Diminished,Half Diminished 7th
Abm7b5,"Ab, B, D, Gb",Diminished,Half Diminished 7th
Am7b5,"A, C, D#, G",Diminished,Half Diminished 7th
Bbm7b5,"Bb, Db, E, Ab",Diminished,Half Diminished 7th
Bm7b5,"B, D, F, A",Diminished,Half Diminished 7th
C#m7b5,"C#, E, G, B",Diminished,Half Diminished 7th
Cm7b5,"C, D#, F#, A#",Diminished,Half Diminished 7th
