chord_name,notes,chord_family
A#aug,"A#, D, F#",Augmented
A#aug7,"A#, D, F#, G#",Augmented
Aaug,"A, C#, F",Augmented
Aaug7,"A, C#, F, G",Augmented
Abaug,"Ab, C, E",Augmented
Abaug7,"Ab, C, E, Gb",Augmented
Baug,"B, D#, G",Augmented
Baug7,"B, D#, G, A",Augmented
Bbaug,"Bb, D, Gb",Augmented
Bbaug7,"Bb, D, Gb, Ab",Augmented
C#aug,"C#, F, A",Augmented
C#aug7,"C#, F, A, B",Augmented
Caug,"C, E, G#",Augmented
Caug7,"C, E, G#, A#",Augmented
D#aug,"D#, G, B",Augmented
D#aug7,"D#, G, B, C#",Augmented
Daug,"D, F#, A#",Augmented
Daug7,"D, F#, A#, C",Augmented
Dbaug,"Db, F, A",Augmented
Dbaug7,"Db, F, A, B",Augmented
Eaug,"E, G#, C",Augmented
Eaug7,"E, G#, C, D",Augmented
Ebaug,"Eb, G, B",Augmented
Ebaug7,"Eb, G, B, Db",Augmented
F#aug,"F#, A#, D",Augmented
F#aug7,"F#, A#, D, E",Augmented
Faug,"F, A, C#",Augmented
Faug7,"F, A, C#, D#",Augmented
G#aug,"G#, C, E",Augmented
G#aug7,"G#, C, E, F#",Augmented
Gaug,"G, B, D#",Augmented
Gaug7,"G, B, D#, F",Augmented
Gbaug,"Gb, Bb, D",Augmented
Gbaug7,"Gb, Bb, D, E",Augmented
A#dim,"A#, C#, E",Diminished
A#dim7,"A#, C#, E, G",Diminished
A#m7b5,"A#, C#, E, G#",Diminished
Abdim,"Ab, B, D",Diminished
Abdim7,"Ab, B, D, F",Diminished
Abm7b5,"Ab, B, D, Gb",Diminished
Adim,"A, C, D#",Diminished
Adim7,"A, C, D#, F#",Diminished
Am7b5,"A, C, D#, G",Diminished
Bbdim,"Bb, Db, E",Diminished
Bbdim7,"Bb, Db, E, G",Diminished
Bbm7b5,"Bb, Db, E, Ab",Diminished
Bdim,"B, D, F",Diminished
Bdim7,"B, D, F, G#",Diminished
Bm7b5,"B, D, F, A",Diminished
C#dim,"C#, E, G",Diminished
C#dim7,"C#, E, G, A#",Diminished
C#m7b5,"C#, E, G, B",Diminished
Cdim,"C, D#, F#",Diminished
Cdim7,"C, D#, F#, A",Diminished
Cm7b5,"C, D#, F#, A#",Diminished
D#dim,"D#, F#, A",Diminished
D#dim7,"D#, F#, A, C",Diminished
D#m7b5,"D#, F#, A, C#",Diminished
Dbdim,"Db, E, G",Diminished
Dbdim7,"Db, E, G, Bb",Diminished
Dbm7b5,"Db, E, G, B",Diminished
Ddim,"D, F, G#",Diminished
Ddim7,"D, F, G#, B",Diminished
Dm7b5,"D, F, G#, C",Diminished
Ebdim,"Eb, Gb, A",Diminished
Ebdim7,"Eb, Gb, A, C",Diminished
Ebm7b5,"Eb, Gb, A, Db",Diminished
Edim,"E, G, A#",Diminished
Edim7,"E, G, A#, C#",Diminished
Em7b5,"E, G, A#, D",Diminished
F#dim,"F#, A, C",Diminished
F#dim7,"F#, A, C, D#",Diminished
F#m7b5,"F#, A, C, E",Diminished
